AlertId,Timestamp,SourceNodeId,SourceNodeType,AlertType,Severity,Description,OpticalPowerDbm,BitErrorRate,CPUUtilPct,PacketLossPct
ALT-20260206-001232,2026-02-04T08:30:16.628Z,GNB-SYD-2041,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.6,5.199e-12,38.5,0.033
ALT-20260206-002139,2026-02-04T08:30:18.056Z,LINK-SYD-AGG-SOUTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.6,7.536e-12,31.7,0.008
ALT-20260206-001693,2026-02-04T08:31:36.222Z,LINK-MEL-AGG-WEST-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.9,4.931e-12,20.3,0.025
ALT-20260206-000435,2026-02-04T08:32:12.830Z,LINK-SYD-BNE-FIBRE-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.66% — transient microloop,-3.2,1.783e-12,39.1,0.66
ALT-20260206-000668,2026-02-04T08:32:19.891Z,LINK-MEL-BNE-FIBRE-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.1,1.863e-12,15.6,0.043
ALT-20260206-001066,2026-02-04T08:33:14.545Z,GNB-MEL-3021,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.3% — transient microloop,-2.5,1.5e-14,43.0,0.3
ALT-20260206-002597,2026-02-04T08:34:36.773Z,GNB-SYD-2043,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.8,8.285e-12,38.5,0.011
ALT-20260206-001207,2026-02-04T08:35:26.198Z,CORE-MEL-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 71.9% — routine process spike,-2.5,3.203e-12,71.9,0.034
ALT-20260206-000031,2026-02-04T08:36:58.876Z,GNB-MEL-3011,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.6,7.853e-12,23.6,0.035
ALT-20260206-002651,2026-02-04T08:37:30.252Z,GNB-MEL-3012,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.6,6.099e-12,43.3,0.013
ALT-20260206-002522,2026-02-04T08:39:00.087Z,GNB-BNE-4011,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.1,8.482e-12,19.7,0.016
ALT-20260206-002759,2026-02-04T08:40:46.045Z,AGG-BNE-CENTRAL-01,AggSwitch,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.19% — transient microloop,-3.3,9.23e-13,41.1,0.19
ALT-20260206-002734,2026-02-04T08:42:27.672Z,LINK-BNE-AGG-CENTRAL-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.0,6.863e-12,29.9,0.028
ALT-20260206-002907,2026-02-04T08:43:34.534Z,AGG-BNE-CENTRAL-01,AggSwitch,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.2% — transient microloop,-2.8,6.422e-12,30.2,0.2
ALT-20260206-001072,2026-02-04T08:43:51.628Z,CORE-SYD-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 63.3% — routine process spike,-2.6,7.036e-12,63.3,0.027
ALT-20260206-000491,2026-02-04T08:45:16.021Z,AGG-BNE-SOUTH-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 70.2% — routine process spike,-3.3,7.647e-12,70.2,0.038
ALT-20260206-001404,2026-02-04T08:46:00.303Z,LINK-SYD-AGG-SOUTH-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.28% — transient microloop,-2.7,1.117e-12,43.4,0.28
ALT-20260206-000330,2026-02-04T08:46:49.639Z,GNB-SYD-2041,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.1,2.705e-12,19.0,0.009
ALT-20260206-000336,2026-02-04T08:51:55.170Z,GNB-MEL-3011,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.7,3.805e-12,40.9,0.022
ALT-20260206-001078,2026-02-04T08:53:06.693Z,LINK-BNE-AGG-SOUTH-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.1,8.7e-12,32.1,0.025
ALT-20260206-002344,2026-02-04T08:54:32.606Z,LINK-SYD-AGG-SOUTH-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.6,3.34e-13,16.8,0.001
ALT-20260206-002144,2026-02-04T08:54:41.413Z,GNB-SYD-2043,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.0,6.848e-12,41.8,0.005
ALT-20260206-001007,2026-02-04T08:55:30.287Z,LINK-MEL-BNE-FIBRE-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.1,4.163e-12,29.9,0.029
