LinkId,Timestamp,UtilizationPct,OpticalPowerDbm,BitErrorRate,LatencyMs
LINK-SYD-MEL-FIBRE-01,2026-02-04T02:30:00.000Z,52.6,-2.7,2.11e-12,7.3
LINK-SYD-MEL-FIBRE-01,2026-02-04T02:35:00.000Z,52.2,-2.7,5.375e-12,6.6
LINK-SYD-MEL-FIBRE-01,2026-02-04T02:40:00.000Z,51.0,-2.6,8.009e-12,4.7
LINK-SYD-MEL-FIBRE-01,2026-02-04T02:45:00.000Z,51.4,-3.5,5.827e-12,7.1
LINK-SYD-MEL-FIBRE-01,2026-02-04T02:50:00.000Z,58.6,-3.4,4.055e-12,7.8
LINK-SYD-MEL-FIBRE-01,2026-02-04T02:55:00.000Z,52.4,-2.6,3.464e-12,5.4
LINK-SYD-MEL-FIBRE-01,2026-02-04T03:00:00.000Z,54.6,-3.4,5.19e-13,4.2
LINK-SYD-MEL-FIBRE-01,2026-02-04T03:05:00.000Z,51.2,-3.2,2.53e-12,5.8
LINK-SYD-MEL-FIBRE-01,2026-02-04T03:10:00.000Z,52.3,-3.2,9.61e-12,5.0
LINK-SYD-MEL-FIBRE-01,2026-02-04T03:15:00.000Z,50.7,-2.6,2.632e-12,6.1
LINK-SYD-MEL-FIBRE-01,2026-02-04T03:20:00.000Z,51.3,-3.1,3.659e-12,7.8
LINK-SYD-MEL-FIBRE-01,2026-02-04T03:25:00.000Z,53.4,-3.2,2.24e-12,5.1
LINK-SYD-MEL-FIBRE-01,2026-02-04T03:30:00.000Z,59.7,-2.9,3.097e-12,5.6
LINK-SYD-MEL-FIBRE-01,2026-02-04T03:35:00.000Z,53.3,-2.9,4.681e-12,6.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T03:40:00.000Z,53.1,-3.3,1.454e-12,5.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T03:45:00.000Z,53.7,-2.9,8.342e-12,6.7
LINK-SYD-MEL-FIBRE-01,2026-02-04T03:50:00.000Z,55.8,-2.5,3.447e-12,7.0
LINK-SYD-MEL-FIBRE-01,2026-02-04T03:55:00.000Z,53.0,-3.0,9.28e-12,4.4
LINK-SYD-MEL-FIBRE-01,2026-02-04T04:00:00.000Z,54.1,-3.5,7.876e-12,7.6
LINK-SYD-MEL-FIBRE-01,2026-02-04T04:05:00.000Z,57.7,-3.2,6.406e-12,7.1
LINK-SYD-MEL-FIBRE-01,2026-02-04T04:10:00.000Z,54.1,-3.3,7.419e-12,6.6
LINK-SYD-MEL-FIBRE-01,2026-02-04T04:15:00.000Z,59.6,-3.2,2.9e-14,4.1
LINK-SYD-MEL-FIBRE-01,2026-02-04T04:20:00.000Z,51.0,-3.1,5.933e-12,7.9
LINK-SYD-MEL-FIBRE-01,2026-02-04T04:25:00.000Z,56.3,-3.4,7.298e-12,6.0
LINK-SYD-MEL-FIBRE-01,2026-02-04T04:30:00.000Z,55.9,-2.8,8.068e-12,6.8
LINK-SYD-MEL-FIBRE-01,2026-02-04T04:35:00.000Z,59.7,-3.4,3.5e-12,5.3
LINK-SYD-MEL-FIBRE-01,2026-02-04T04:40:00.000Z,53.4,-3.5,7.132e-12,6.0
LINK-SYD-MEL-FIBRE-01,2026-02-04T04:45:00.000Z,52.8,-2.8,4.03e-12,4.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T04:50:00.000Z,50.3,-2.9,3.889e-12,4.1
LINK-SYD-MEL-FIBRE-01,2026-02-04T04:55:00.000Z,54.6,-2.9,3.22e-13,7.4
LINK-SYD-MEL-FIBRE-01,2026-02-04T05:00:00.000Z,57.6,-3.1,3.62e-13,5.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T05:05:00.000Z,55.7,-2.9,5.75e-12,6.0
LINK-SYD-MEL-FIBRE-01,2026-02-04T05:10:00.000Z,54.3,-2.9,9.442e-12,5.3
LINK-SYD-MEL-FIBRE-01,2026-02-04T05:15:00.000Z,56.8,-3.1,7.039e-12,4.4
LINK-SYD-MEL-FIBRE-01,2026-02-04T05:20:00.000Z,58.0,-2.9,7.808e-12,6.7
LINK-SYD-MEL-FIBRE-01,2026-02-04T05:25:00.000Z,57.7,-2.6,4.248e-12,5.6
LINK-SYD-MEL-FIBRE-01,2026-02-04T05:30:00.000Z,52.5,-2.5,7.908e-12,5.9
LINK-SYD-MEL-FIBRE-01,2026-02-04T05:35:00.000Z,52.4,-2.6,7.958e-12,6.8
LINK-SYD-MEL-FIBRE-01,2026-02-04T05:40:00.000Z,55.9,-3.5,5.87e-13,4.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T05:45:00.000Z,55.3,-3.3,7.793e-12,7.9
LINK-SYD-MEL-FIBRE-01,2026-02-04T05:50:00.000Z,52.3,-3.2,1.074e-12,4.8
LINK-SYD-MEL-FIBRE-01,2026-02-04T05:55:00.000Z,50.1,-3.2,4.81e-13,5.9
LINK-SYD-MEL-FIBRE-01,2026-02-04T06:00:00.000Z,58.6,-3.3,6.356e-12,7.9
LINK-SYD-MEL-FIBRE-01,2026-02-04T06:05:00.000Z,52.3,-3.1,6.727e-12,4.9
LINK-SYD-MEL-FIBRE-01,2026-02-04T06:10:00.000Z,54.8,-2.7,5.682e-12,5.8
LINK-SYD-MEL-FIBRE-01,2026-02-04T06:15:00.000Z,58.2,-3.4,6.948e-12,6.1
LINK-SYD-MEL-FIBRE-01,2026-02-04T06:20:00.000Z,50.2,-2.8,8.543e-12,7.6
LINK-SYD-MEL-FIBRE-01,2026-02-04T06:25:00.000Z,50.1,-3.4,4.568e-12,6.9
LINK-SYD-MEL-FIBRE-01,2026-02-04T06:30:00.000Z,58.0,-2.7,4.375e-12,5.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T06:35:00.000Z,58.1,-3.1,2.62e-13,4.7
LINK-SYD-MEL-FIBRE-01,2026-02-04T06:40:00.000Z,58.5,-3.3,9.917e-12,5.7
LINK-SYD-MEL-FIBRE-01,2026-02-04T06:45:00.000Z,59.0,-3.0,5.917e-12,5.1
LINK-SYD-MEL-FIBRE-01,2026-02-04T06:50:00.000Z,57.8,-3.4,8.865e-12,7.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T06:55:00.000Z,55.2,-3.1,5.837e-12,4.4
LINK-SYD-MEL-FIBRE-01,2026-02-04T07:00:00.000Z,51.3,-3.4,1.969e-12,7.2
LINK-SYD-MEL-FIBRE-01,2026-02-04T07:05:00.000Z,50.8,-2.9,1.672e-12,7.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T07:10:00.000Z,58.1,-3.4,1.091e-12,6.0
LINK-SYD-MEL-FIBRE-01,2026-02-04T07:15:00.000Z,56.4,-2.9,9.785e-12,7.4
LINK-SYD-MEL-FIBRE-01,2026-02-04T07:20:00.000Z,58.1,-2.6,3.949e-12,7.0
LINK-SYD-MEL-FIBRE-01,2026-02-04T07:25:00.000Z,53.2,-2.5,6.295e-12,5.1
LINK-SYD-MEL-FIBRE-01,2026-02-04T07:30:00.000Z,59.1,-2.8,1.817e-12,6.7
LINK-SYD-MEL-FIBRE-01,2026-02-04T07:35:00.000Z,53.2,-3.2,7.73e-13,6.1
LINK-SYD-MEL-FIBRE-01,2026-02-04T07:40:00.000Z,58.0,-2.8,6.661e-12,7.1
LINK-SYD-MEL-FIBRE-01,2026-02-04T07:45:00.000Z,57.0,-3.4,3.827e-12,5.8
LINK-SYD-MEL-FIBRE-01,2026-02-04T07:50:00.000Z,55.1,-3.5,3.388e-12,4.2
LINK-SYD-MEL-FIBRE-01,2026-02-04T07:55:00.000Z,55.5,-2.9,5.403e-12,6.8
LINK-SYD-MEL-FIBRE-01,2026-02-04T08:00:00.000Z,52.2,-2.7,7.226e-12,6.1
LINK-SYD-MEL-FIBRE-01,2026-02-04T08:05:00.000Z,57.8,-3.0,8.979e-12,7.4
LINK-SYD-MEL-FIBRE-01,2026-02-04T08:10:00.000Z,59.4,-3.2,6.711e-12,4.7
LINK-SYD-MEL-FIBRE-01,2026-02-04T08:15:00.000Z,59.5,-3.2,5.227e-12,4.8
LINK-SYD-MEL-FIBRE-01,2026-02-04T08:20:00.000Z,53.2,-2.5,8.995e-12,4.4
LINK-SYD-MEL-FIBRE-01,2026-02-04T08:25:00.000Z,54.4,-3.0,9.115e-12,4.0
LINK-SYD-MEL-FIBRE-01,2026-02-04T08:30:00.000Z,50.0,-3.0,7.779e-12,7.7
LINK-SYD-MEL-FIBRE-01,2026-02-04T08:35:00.000Z,54.7,-3.0,7.326e-12,4.0
LINK-SYD-MEL-FIBRE-01,2026-02-04T08:40:00.000Z,54.2,-2.8,4.361e-12,7.9
LINK-SYD-MEL-FIBRE-01,2026-02-04T08:45:00.000Z,52.4,-3.0,1.452e-12,6.4
LINK-SYD-MEL-FIBRE-01,2026-02-04T08:50:00.000Z,50.0,-3.1,4.833e-12,7.4
LINK-SYD-MEL-FIBRE-01,2026-02-04T08:55:00.000Z,56.4,-3.3,9.47e-13,4.6
LINK-SYD-MEL-FIBRE-01,2026-02-04T09:00:00.000Z,52.8,-3.0,5.166e-12,6.2
LINK-SYD-MEL-FIBRE-01,2026-02-04T09:05:00.000Z,56.6,-3.4,3.905e-12,6.3
LINK-SYD-MEL-FIBRE-01,2026-02-04T09:10:00.000Z,50.4,-2.6,6.716e-12,5.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T09:15:00.000Z,53.0,-3.2,4.012e-12,6.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T09:20:00.000Z,54.7,-3.4,6.133e-12,5.6
LINK-SYD-MEL-FIBRE-01,2026-02-04T09:25:00.000Z,53.2,-2.6,7.53e-12,6.4
LINK-SYD-MEL-FIBRE-01,2026-02-04T09:30:00.000Z,50.2,-2.7,2.509e-12,7.2
LINK-SYD-MEL-FIBRE-01,2026-02-04T09:35:00.000Z,50.3,-2.9,7.099e-12,5.9
LINK-SYD-MEL-FIBRE-01,2026-02-04T09:40:00.000Z,50.2,-3.2,3.37e-12,6.6
LINK-SYD-MEL-FIBRE-01,2026-02-04T09:45:00.000Z,51.1,-2.5,4.512e-12,4.2
LINK-SYD-MEL-FIBRE-01,2026-02-04T09:50:00.000Z,55.5,-2.8,3.744e-12,6.3
LINK-SYD-MEL-FIBRE-01,2026-02-04T09:55:00.000Z,51.9,-2.5,1.431e-12,5.6
LINK-SYD-MEL-FIBRE-01,2026-02-04T10:00:00.000Z,59.5,-3.0,1.76e-12,7.8
LINK-SYD-MEL-FIBRE-01,2026-02-04T10:05:00.000Z,59.2,-3.4,2.497e-12,7.6
LINK-SYD-MEL-FIBRE-01,2026-02-04T10:10:00.000Z,57.3,-2.7,3.416e-12,4.7
LINK-SYD-MEL-FIBRE-01,2026-02-04T10:15:00.000Z,58.0,-3.4,1.14e-12,6.3
LINK-SYD-MEL-FIBRE-01,2026-02-04T10:20:00.000Z,59.3,-3.5,7.081e-12,5.8
LINK-SYD-MEL-FIBRE-01,2026-02-04T10:25:00.000Z,57.9,-3.0,1.424e-12,7.4
LINK-SYD-MEL-FIBRE-01,2026-02-04T10:30:00.000Z,56.0,-3.3,9.937e-12,6.2
LINK-SYD-MEL-FIBRE-01,2026-02-04T10:35:00.000Z,57.6,-2.7,1.929e-12,7.4
LINK-SYD-MEL-FIBRE-01,2026-02-04T10:40:00.000Z,56.4,-3.5,3.627e-12,5.0
LINK-SYD-MEL-FIBRE-01,2026-02-04T10:45:00.000Z,58.0,-2.6,4.805e-12,5.4
LINK-SYD-MEL-FIBRE-01,2026-02-04T10:50:00.000Z,52.5,-2.9,7.717e-12,6.8
LINK-SYD-MEL-FIBRE-01,2026-02-04T10:55:00.000Z,51.2,-2.6,7.347e-12,5.2
LINK-SYD-MEL-FIBRE-01,2026-02-04T11:00:00.000Z,59.1,-2.7,1.514e-12,6.2
LINK-SYD-MEL-FIBRE-01,2026-02-04T11:05:00.000Z,51.9,-2.9,3.683e-12,7.8
LINK-SYD-MEL-FIBRE-01,2026-02-04T11:10:00.000Z,55.8,-3.0,5.786e-12,7.7
LINK-SYD-MEL-FIBRE-01,2026-02-04T11:15:00.000Z,53.4,-2.7,6.033e-12,4.4
LINK-SYD-MEL-FIBRE-01,2026-02-04T11:20:00.000Z,59.3,-3.4,4.864e-12,4.1
LINK-SYD-MEL-FIBRE-01,2026-02-04T11:25:00.000Z,50.3,-3.1,4.524e-12,4.2
LINK-SYD-MEL-FIBRE-01,2026-02-04T11:30:00.000Z,55.7,-3.4,2.544e-12,7.7
LINK-SYD-MEL-FIBRE-01,2026-02-04T11:35:00.000Z,53.8,-3.2,9.632e-12,5.0
LINK-SYD-MEL-FIBRE-01,2026-02-04T11:40:00.000Z,58.1,-2.7,6.316e-12,6.4
LINK-SYD-MEL-FIBRE-01,2026-02-04T11:45:00.000Z,52.1,-3.1,5.591e-12,4.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T11:50:00.000Z,55.6,-2.7,4.043e-12,5.9
LINK-SYD-MEL-FIBRE-01,2026-02-04T11:55:00.000Z,56.7,-2.6,1.04e-13,5.1
LINK-SYD-MEL-FIBRE-01,2026-02-04T12:00:00.000Z,53.1,-2.6,6.564e-12,6.9
LINK-SYD-MEL-FIBRE-01,2026-02-04T12:05:00.000Z,55.9,-2.8,6.766e-12,6.7
LINK-SYD-MEL-FIBRE-01,2026-02-04T12:10:00.000Z,52.3,-3.4,7.628e-12,7.0
LINK-SYD-MEL-FIBRE-01,2026-02-04T12:15:00.000Z,50.4,-3.3,2.649e-12,7.2
LINK-SYD-MEL-FIBRE-01,2026-02-04T12:20:00.000Z,57.5,-2.8,4.517e-12,7.6
LINK-SYD-MEL-FIBRE-01,2026-02-04T12:25:00.000Z,59.8,-2.6,2.648e-12,7.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T12:30:00.000Z,51.2,-3.5,5.433e-12,7.6
LINK-SYD-MEL-FIBRE-01,2026-02-04T12:35:00.000Z,58.6,-2.9,7.012e-12,7.9
LINK-SYD-MEL-FIBRE-01,2026-02-04T12:40:00.000Z,57.3,-3.3,1.18e-12,4.4
LINK-SYD-MEL-FIBRE-01,2026-02-04T12:45:00.000Z,53.4,-3.5,3.416e-12,5.2
LINK-SYD-MEL-FIBRE-01,2026-02-04T12:50:00.000Z,54.8,-3.0,7.797e-12,6.3
LINK-SYD-MEL-FIBRE-01,2026-02-04T12:55:00.000Z,59.4,-2.7,7.184e-12,5.2
LINK-SYD-MEL-FIBRE-01,2026-02-04T13:00:00.000Z,54.8,-2.7,1.061e-12,4.2
LINK-SYD-MEL-FIBRE-01,2026-02-04T13:05:00.000Z,59.5,-2.9,3.928e-12,7.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T13:10:00.000Z,53.6,-2.8,3.517e-12,5.4
LINK-SYD-MEL-FIBRE-01,2026-02-04T13:15:00.000Z,51.5,-2.9,4.565e-12,4.7
LINK-SYD-MEL-FIBRE-01,2026-02-04T13:20:00.000Z,56.8,-3.3,5.074e-12,5.1
LINK-SYD-MEL-FIBRE-01,2026-02-04T13:25:00.000Z,59.9,-3.5,2.04e-12,4.0
