ReadingId,Timestamp,SensorId,SensorType,Value,Unit,Status
RD-20260204-000001,2026-02-04T00:00:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.2,dBm,NORMAL
RD-20260204-000428,2026-02-04T00:00:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-11.8,dBm,NORMAL
RD-20260204-000855,2026-02-04T00:00:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-10.9,dBm,NORMAL
RD-20260204-001282,2026-02-04T00:00:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,2.05e-12,ratio,NORMAL
RD-20260204-001709,2026-02-04T00:00:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,4.17e-12,ratio,NORMAL
RD-20260204-002136,2026-02-04T00:00:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-10.5,dBm,NORMAL
RD-20260204-002563,2026-02-04T00:00:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-10.3,dBm,NORMAL
RD-20260204-002990,2026-02-04T00:00:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-11.3,dBm,NORMAL
RD-20260204-003417,2026-02-04T00:00:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-11.3,dBm,NORMAL
RD-20260204-003844,2026-02-04T00:00:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.4,dBm,NORMAL
RD-20260204-004271,2026-02-04T00:00:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-10.9,dBm,NORMAL
RD-20260204-004698,2026-02-04T00:00:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,35.5,°C,NORMAL
RD-20260204-005125,2026-02-04T00:00:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,35.0,°C,NORMAL
RD-20260204-005552,2026-02-04T00:00:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,37.2,°C,NORMAL
RD-20260204-005979,2026-02-04T00:00:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,38.4,%,NORMAL
RD-20260204-006406,2026-02-04T00:00:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,33.2,%,NORMAL
RD-20260204-006833,2026-02-04T00:00:00+00:00,SENS-AMP-GOULBURN-VIB-001,Vibration,0.16,g,NORMAL
RD-20260204-007260,2026-02-04T00:00:00+00:00,SENS-AMP-ALBURY-VIB-001,Vibration,0.12,g,NORMAL
RD-20260204-000002,2026-02-04T00:30:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.3,dBm,NORMAL
RD-20260204-000429,2026-02-04T00:30:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-11.8,dBm,NORMAL
RD-20260204-000856,2026-02-04T00:30:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-11.8,dBm,NORMAL
RD-20260204-001283,2026-02-04T00:30:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,8.31e-12,ratio,NORMAL
RD-20260204-001710,2026-02-04T00:30:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,6.54e-12,ratio,NORMAL
RD-20260204-002137,2026-02-04T00:30:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-9.9,dBm,NORMAL
RD-20260204-002564,2026-02-04T00:30:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-10.2,dBm,NORMAL
RD-20260204-002991,2026-02-04T00:30:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-11.0,dBm,NORMAL
RD-20260204-003418,2026-02-04T00:30:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-11.3,dBm,NORMAL
RD-20260204-003845,2026-02-04T00:30:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.6,dBm,NORMAL
